Title,Location,Price,Area
Apartment Brouwersgracht,            1013 GW Amsterdam (Haarlemmerbuurt)        
House IJburglaan,            1086 ZJ Amsterdam (IJburg West)        
House Bart van der Leckplantsoen,            1061 VL Amsterdam (Overtoomse Veld)        
Apartment Bezaanjachtplein,            1034 DA Amsterdam (Banne Buiksloot)        
Apartment Frans Halsstraat,            1072 BV Amsterdam (Oude Pijp)        
Apartment Houtrijkstraat,            1013 VL Amsterdam (Spaarndammer- en Zeeheldenbuurt)        
Apartment Eerste Oosterparkstraat,            1091 GW Amsterdam (Weesperzijde)        
Apartment Bergmolen,            1035 BC Amsterdam (Oostzanerwerf)        
Apartment Faradaystraat,            1098 NM Amsterdam (Middenmeer)        
Apartment Van Ostadestraat 240 3,            1073 TV Amsterdam (Nieuwe Pijp)        
Apartment Boylestraat 14 2,            1098 PC Amsterdam (Middenmeer)        
Apartment Lauriergracht,            1016 RK Amsterdam (Jordaan)        
Apartment Uithoornstraat 2 A-1,            1078 SX Amsterdam (IJselbuurt)        
Apartment Giessenburg 6,            1082 CW Amsterdam (Buitenveldert-West)        
Apartment Alberdingk Thijmstraat,            1054 AK Amsterdam (Helmersbuurt)        
Apartment Johan Hofmanstraat,            1069 KD Amsterdam (Osdorp-Midden)        
Apartment IJdoornlaan 251 K1,            1024 KM Amsterdam (Waterlandpleinbuurt)        
Apartment Hoogte Kadijk,            1018 BJ Amsterdam (Oostelijke Eilanden/Kadijken)        
Apartment Kijkduinstraat,            1055 XZ Amsterdam (Landlust)        
Apartment Willemsparkweg 218 I,            1071 HX Amsterdam (Museumkwartier)        
Apartment Keizersgracht,            1015 CR Amsterdam (Grachtengordel-West)        
Apartment Fagelstraat,            1052 EZ Amsterdam (Frederik Hendrikbuurt)        
Apartment Entrepotdok 83,            1018 AD Amsterdam (Oostelijke Eilanden/Kadijken)        
Apartment Loosduinenstraat 42,            1062 EG Amsterdam (Westlandgracht)        
Apartment C̩ramiquelaan,            1031 KG Amsterdam (Noordelijke IJ-oevers West)        
Apartment Nieuwpoortstraat 94 D15,            1055 RZ Amsterdam (Landlust)        
Apartment Reinier Engelmanstraat 29,            1065 TT Amsterdam (Slotervaart Zuid)        
Apartment Jan Puntstraat 35,            1065 MB Amsterdam (Slotervaart Zuid)        
Apartment Nachtwachtlaan,            1058 EK Amsterdam (Overtoomse Veld)        
Apartment Johannes van der Waalsstraat 55 B,            1098 PG Amsterdam (Middenmeer)        
Apartment Molenpad,            1016 GM Amsterdam (Grachtengordel-West)        
Apartment Van Oldenbarneveldtstraat,            1052 JT Amsterdam (Frederik Hendrikbuurt)        
